,Elec_Siem,Heat_Siem,Elec_CZ,scSi_CZ,RT_movpe,P_movpe_tool,Zeol_scrub,Cu_zeol,Cu_rec,pi_NPsynthCu,bin_NPsynthCu,pi_NPsynthAg,bin_NPsynthAg,pi_CuSint,bin_CuSint,pi_AgSint,bin_AgSint,pi_FM,bin_FM,Al_panel,Glass_panel,Elec_panel,Eff_PV,PR_PV,LT
1,129.3810965,168.8087006,88.59764501,0.562993276,3.212337371,317.2651231,4.200307995,0.434034805,1,0.610274594,1,0.708690885,1,0.169393162,0,0.038796358,0,0.351740732,1,2.033126733,9.358777221,6.099292526,0.288545242,0.870167222,36.38074208
2,86.545627,192.5065725,77.30109545,1.060065684,3.431479009,473.0127461,5.213132959,0.243542413,0,0.655696347,0,0.670061679,0,0.21284476,0,0.646482992,0,0.872416701,1,2.597523417,11.856429,7.042486001,0.294552843,0.891483857,27.68085608
3,114.4369566,202.3143172,89.89274789,1.251197464,3.463390152,406.0091747,6.446182358,0.552880824,0,0.703945206,0,0.617923967,0,0.20500676,0,0.649255845,1,0.743028126,0,2.007170679,11.25855106,5.210519206,0.282897596,0.855238697,26.70542271
4,101.2763479,120.0464155,67.40702606,0.637055271,3.330099164,244.715147,5.303204133,0.421781579,1,0.673998481,1,0.622325809,0,0.232134654,0,0.675063089,1,0.943184351,1,3.035838818,11.3590937,4.760807291,0.281049221,0.852269291,29.19805882
5,104.5380168,211.8845506,88.81407512,1.259160239,2.733472435,497.0738653,5.740364649,0.278916896,1,0.622800236,1,0.722634388,1,0.215795547,0,0.844430349,0,0.891903679,1,2.709290081,8.320083351,4.548124464,0.271895301,0.835417714,24.88988128
6,91.49010909,202.4356577,93.82452899,1.194491287,3.147845137,440.1620399,6.986114486,0.419144175,1,0.737887599,1,0.60262484,0,0.22657214,0,0.775140072,0,0.704727833,1,2.702063465,10.83672278,5.47101901,0.271866905,0.860268273,26.23584509
7,101.649948,205.5078083,77.51076103,0.931713795,3.471003313,388.3790402,6.615060585,0.244005301,0,0.5905277,0,0.723491825,0,0.157816131,0,0.029806206,0,0.547145524,0,2.601337412,10.3648718,4.990135855,0.275984744,0.861963668,35.44972201
8,89.14289998,147.78315,68.20731868,1.367956655,3.321337695,426.1998192,6.755596304,0.386514394,0,0.731076089,1,0.722597322,0,0.151900689,0,0.058225717,0,0.483426818,0,2.399295699,10.27671367,5.037215846,0.295743625,0.852536003,36.29107615
9,102.7281721,159.4490701,86.92934571,1.27150345,1.679024436,170.1972615,6.229658857,0.336776942,1,0.662636117,1,0.614011253,1,0.167734494,0,0.331802626,1,0.60682139,1,3.488808814,11.62151947,4.119310314,0.268839176,0.875900431,25.09029462
10,93.78677482,156.5898456,102.4554539,1.072812447,3.380548073,222.260391,4.838781461,0.378010023,0,0.674024724,1,0.763848071,1,0.203073824,0,0.321848934,0,0.714364304,1,2.346393491,11.90493282,5.053175703,0.280798807,0.834557559,28.6942764
